255,1,45,0.248619,12,0,10,6,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
262,1,47,0.255435,12,0,12,6,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
265,1,48,0.259459,13,0,12,6,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
265,1,48,0.259459,12,0,12,7,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
265,1,48,0.259459,12,0,12,6,1,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
268,1,49,0.263441,13,0,12,7,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
268,1,49,0.263441,13,0,12,6,1,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
262,1,47,0.255435,12,0,11,6,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
265,1,48,0.259459,13,0,11,6,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
265,1,48,0.259459,12,0,11,7,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
265,1,48,0.259459,12,0,11,6,1,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
268,1,49,0.263441,13,0,11,7,0,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
268,1,49,0.263441,13,0,11,6,1,3,0,0,0,0,0,0,2,0,42.500000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,155.000000
172,1,27,0.287234,6,0,6,0,0,0,0,0,0,0,0,0,2,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,56.000000
176,1,28,0.291667,7,0,6,0,0,0,0,0,0,0,0,0,2,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,56.000000
179,1,29,0.298969,8,0,6,0,0,0,0,0,0,0,0,0,2,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,56.000000
179,1,29,0.298969,7,0,6,1,0,0,0,0,0,0,0,0,2,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,56.000000
179,1,29,0.298969,7,0,6,0,1,0,0,0,0,0,0,0,2,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,56.000000
182,1,30,0.306122,8,0,6,1,0,0,0,0,0,0,0,0,2,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,56.000000
182,1,30,0.306122,8,0,6,0,1,0,0,0,0,0,0,0,2,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,56.000000
50,1,9,0.450000,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
845,1,167,0.314501,54,2,10,0,12,23,1,0,5,0,0,3,1,3,20.363636,-1.000000,-1.000000,10.500000,-1.000000,-1.000000,19.500000,-1.000000
